,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
112,Villa Zoki - soba dnevni najam,9.1,Zagreb,Wonderful ,121 reviews,Original price 151 zł. Current price 141 zł.,5.5 km from center,Deluxe Double or Twin Room,3,,
113,Random Room,9.1,Zagreb,Wonderful ,194 reviews,Original price 141 zł. Current price 132 zł.,8.2 km from center,Double Room,3,,
114,Marinac Apartment,8.1,"Upper Town – Medvescak, Zagreb",Very Good ,58 reviews,Original price 235 zł. Current price 219 zł.,150 m from center,Studio Apartment,3,,Location 9.8
115,B&B Concept,8.8,"Lower Town, Zagreb",Excellent ,764 reviews,Price 477 zł,0.9 km from center,Double Room with Private Bathroom,4,Breakfast included,
116,Apartment Gollner,9.6,"Lower Town, Zagreb",Exceptional ,126 reviews,Original price 258 zł. Current price 241 zł.,450 m from center,One-Bedroom Apartment,3,,Location 9.9
117,Artissimo Apartments,9.5,"Lower Town, Zagreb",Exceptional ,105 reviews,Original price 258 zł. Current price 241 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
118,Luxury Attic,9.6,Zagreb,Exceptional ,118 reviews,Original price 305 zł. Current price 290 zł.,5.8 km from center,Deluxe Studio,3,,
119,MKR Family Room,9.0,"Lower Town, Zagreb",Wonderful ,276 reviews,Original price 291 zł. Current price 226 zł.,150 m from center,Studio Apartment,3,,Location 9.8
120,MM House,8.8,Zagreb,Excellent ,377 reviews,Price 399 zł,4.8 km from center,Double Room with Balcony,4,Breakfast included,
121,Enter Rooms,8.9,Zagreb,Excellent ,49 reviews,Original price 324 zł. Current price 303 zł.,2 km from center,Double Room with Private Bathroom,0,,
